,GeneName
ENSMUSG00000000056,Narf
ENSMUSG00000000078,Klf6
ENSMUSG00000000085,Scmh1
ENSMUSG00000000088,Cox5a
ENSMUSG00000000125,Wnt3
ENSMUSG00000000131,Xpo6
ENSMUSG00000000134,Tfe3
ENSMUSG00000000168,Dlat
ENSMUSG00000000171,Sdhd
ENSMUSG00000000184,Ccnd2
ENSMUSG00000000194,Gpr107
ENSMUSG00000000247,Lhx2
ENSMUSG00000000266,Mid2
ENSMUSG00000000276,Dgke
ENSMUSG00000000282,Mnt
ENSMUSG00000000295,Hddc2
ENSMUSG00000000301,Pemt
ENSMUSG00000000308,Ckmt1
ENSMUSG00000000326,Comt
ENSMUSG00000000339,Rtca
ENSMUSG00000000346,Dazap2
ENSMUSG00000000355,Mcts1
ENSMUSG00000000374,Trappc10
ENSMUSG00000000378,Ccm2
ENSMUSG00000000384,Tbrg4
ENSMUSG00000000392,Fap
ENSMUSG00000000409,Lck
ENSMUSG00000000420,Galnt1
ENSMUSG00000000439,Mkrn2
ENSMUSG00000000489,Pdgfb
ENSMUSG00000000531,Tamalin
ENSMUSG00000000532,Acvr1b
ENSMUSG00000000538,Tom1l2
ENSMUSG00000000560,Gabra2
ENSMUSG00000000561,Wdr77
ENSMUSG00000000563,Atp5pb
ENSMUSG00000000568,Hnrnpd
ENSMUSG00000000579,Dynlt1c
ENSMUSG00000000581,C1d
ENSMUSG00000000600,Krit1
ENSMUSG00000000605,Clcn4
ENSMUSG00000000627,Sema4f
ENSMUSG00000000631,Myo18a
ENSMUSG00000000740,Rpl13
ENSMUSG00000000743,Chmp1a
ENSMUSG00000000787,Ddx3x
ENSMUSG00000000792,Slc5a5
ENSMUSG00000000805,Car4
ENSMUSG00000000823,Zfp512b
ENSMUSG00000000826,Dnajc5
ENSMUSG00000000827,Tpd52l2
ENSMUSG00000000861,Bcl11a
ENSMUSG00000000876,Pxmp4
ENSMUSG00000000901,Mmp11
ENSMUSG00000000902,Smarcb1
ENSMUSG00000000915,Hip1r
ENSMUSG00000000916,Nsun5
ENSMUSG00000000948,Gm38393
ENSMUSG00000000957,Mmp14
ENSMUSG00000000959,Oxa1l
ENSMUSG00000001016,Ilf2
ENSMUSG00000001017,Chtop
ENSMUSG00000001018,Snapin
ENSMUSG00000001025,S100a6
ENSMUSG00000001034,Mapk7
ENSMUSG00000001036,Epn2
ENSMUSG00000001056,Nhp2
ENSMUSG00000001062,Vps9d1
ENSMUSG00000001098,Kctd10
ENSMUSG00000001100,Poldip2
ENSMUSG00000001105,Ift20
ENSMUSG00000001127,Araf
ENSMUSG00000001128,Cfp
ENSMUSG00000001143,Lman2l
ENSMUSG00000001158,Snrnp27
ENSMUSG00000001173,Ocrl
ENSMUSG00000001175,Calm1
ENSMUSG00000001211,Agpat3
ENSMUSG00000001227,Sema6b
ENSMUSG00000001248,Gramd1a
ENSMUSG00000001270,Ckb
ENSMUSG00000001281,Itgb7
ENSMUSG00000001285,Myg1
ENSMUSG00000001289,Pfdn5
ENSMUSG00000001300,Efnb2
ENSMUSG00000001305,Rrp15
ENSMUSG00000001313,Rnd2
ENSMUSG00000001323,Srr
ENSMUSG00000001334,Fndc5
ENSMUSG00000001366,Fbxo9
ENSMUSG00000001380,Hars
ENSMUSG00000001383,Zmat2
ENSMUSG00000001415,Smg5
ENSMUSG00000001416,Cct3
ENSMUSG00000001419,Mef2d
ENSMUSG00000001420,Tmem79
ENSMUSG00000001424,Snd1
ENSMUSG00000001440,Kpnb1
ENSMUSG00000001441,Npepps
ENSMUSG00000001445,Mrpl10
ENSMUSG00000001472,Tcf25
ENSMUSG00000001482,Def8
ENSMUSG00000001497,Pax9
ENSMUSG00000001520,Nrip2
ENSMUSG00000001521,Tulp3
ENSMUSG00000001525,Tubb5
ENSMUSG00000001542,Ell2
ENSMUSG00000001576,Ergic1
ENSMUSG00000001627,Ifrd1
ENSMUSG00000001642,Akr1b3
ENSMUSG00000001666,Ddt
ENSMUSG00000001674,Ddx18
ENSMUSG00000001687,Ubl3
ENSMUSG00000001729,Akt1
ENSMUSG00000001755,Coasy
ENSMUSG00000001763,Tspan33
ENSMUSG00000001774,Chordc1
ENSMUSG00000001783,Rtcb
ENSMUSG00000001785,Pwp1
ENSMUSG00000001786,Fbxo7
ENSMUSG00000001794,Capns1
ENSMUSG00000001802,Lrp3
ENSMUSG00000001833,Septin7
ENSMUSG00000001844,Zdhhc4
ENSMUSG00000001847,Rac1
ENSMUSG00000001855,Nup214
ENSMUSG00000001910,Nacc1
ENSMUSG00000001911,Nfix
ENSMUSG00000001964,Emd
ENSMUSG00000001983,Taco1
ENSMUSG00000001986,Gria3
ENSMUSG00000001998,Ap4e1
ENSMUSG00000002006,Pdzd4
ENSMUSG00000002017,Fam98a
ENSMUSG00000002028,Kmt2a
ENSMUSG00000002031,Ift46
ENSMUSG00000002032,Tmem25
ENSMUSG00000002043,Trappc6a
ENSMUSG00000002052,Supt6
ENSMUSG00000002058,Unc119
ENSMUSG00000002102,Psmc3
ENSMUSG00000002103,Acp2
ENSMUSG00000002107,Celf2
ENSMUSG00000002205,Vrk3
